Sample description: 
Sample:   c= 2.9 mg/ml  Code: LipH_dTMDdVD_Tris
Parent(s): analysis/processed/subtracted/LipH_dTMDdVD_Tris_0019_sub.dat
 3.975830e-001  1.444531e-002  1.774904e-004
 4.003670e-001  1.472535e-002  1.794334e-004
 4.031500e-001  1.450533e-002  1.804174e-004
 4.059340e-001  1.410616e-002  1.779938e-004
 4.087170e-001  1.413820e-002  1.698250e-004
 4.115010e-001  1.392811e-002  1.675948e-004
 4.142840e-001  1.431017e-002  1.677329e-004
 4.170680e-001  1.388207e-002  1.637745e-004
 4.198510e-001  1.397980e-002  1.645457e-004
 4.226350e-001  1.372602e-002  1.607648e-004
 4.254190e-001  1.375365e-002  1.601805e-004
 4.282020e-001  1.364376e-002  1.595080e-004
 4.309860e-001  1.344164e-002  1.564575e-004
 4.337690e-001  1.351999e-002  1.570097e-004
 4.365530e-001  1.364517e-002  1.563166e-004
 4.393360e-001  1.342001e-002  1.568435e-004
 4.421200e-001  1.348491e-002  1.532422e-004
 4.449030e-001  1.338489e-002  1.524677e-004
 4.476870e-001  1.297873e-002  1.516582e-004
 4.504700e-001  1.283668e-002  1.519302e-004
 4.532540e-001  1.306031e-002  1.510337e-004
 4.560380e-001  1.309976e-002  1.494759e-004
 4.588210e-001  1.284841e-002  1.486627e-004
 4.616050e-001  1.270781e-002  1.474364e-004
 4.643880e-001  1.252247e-002  1.465881e-004
 4.671720e-001  1.235576e-002  1.462340e-004
 4.699550e-001  1.254787e-002  1.450474e-004
 4.727390e-001  1.219249e-002  1.456807e-004
 4.755220e-001  1.212518e-002  1.440068e-004
 4.783060e-001  1.232883e-002  1.434569e-004
 4.810890e-001  1.189129e-002  1.418198e-004
 4.838730e-001  1.211306e-002  1.415494e-004
 4.866560e-001  1.201380e-002  1.432847e-004
 4.894400e-001  1.185398e-002  1.397413e-004
 4.922240e-001  1.187129e-002  1.396813e-004
 4.950070e-001  1.171562e-002  1.381059e-004
 4.977910e-001  1.183645e-002  1.393693e-004
 5.005740e-001  1.147014e-002  1.381560e-004
 5.033580e-001  1.170472e-002  1.380610e-004
 5.061410e-001  1.125860e-002  1.365126e-004
 5.089250e-001  1.158677e-002  1.369282e-004
 5.117080e-001  1.127703e-002  1.350396e-004
 5.144920e-001  1.131020e-002  1.352174e-004
 5.172750e-001  1.111575e-002  1.348200e-004
 5.200590e-001  1.093476e-002  1.341720e-004
 5.228420e-001  1.101626e-002  1.340457e-004
 5.256260e-001  1.075744e-002  1.325532e-004
 5.284100e-001  1.045925e-002  1.318620e-004
 5.311930e-001  1.058293e-002  1.311274e-004
 5.339770e-001  1.062547e-002  1.315886e-004
 5.367600e-001  1.038258e-002  1.307483e-004
 5.395440e-001  1.053564e-002  1.292364e-004
 5.423270e-001  1.041049e-002  1.299423e-004
 5.451110e-001  1.030566e-002  1.284582e-004
 5.478940e-001  1.039773e-002  1.282948e-004
 5.506780e-001  1.019922e-002  1.288198e-004
 5.534610e-001  1.004816e-002  1.268483e-004
 5.562450e-001  1.008153e-002  1.274399e-004
 5.590290e-001  1.001352e-002  1.274577e-004
